timestamp,speed_scaling
1755350585.9843957,100.0
1755350585.9852388,100.0
1755350585.9861062,100.0
1755350585.987157,100.0
1755350585.98814,100.0
1755350585.989447,100.0
1755350585.9907327,100.0
1755350585.9916356,100.0
1755350585.9927487,100.0
1755350585.9939961,100.0
1755350585.9950323,100.0
1755350585.9959097,100.0
1755350585.9999118,100.0
1755350586.0039241,100.0
1755350586.0052226,100.0
1755350586.0062113,100.0
1755350586.0112717,100.0
1755350586.013327,100.0
1755350586.0145106,100.0
1755350586.015255,100.0
1755350586.0163429,100.0
1755350586.0184243,100.0
1755350586.0196352,100.0
1755350586.0255225,100.0
1755350586.026375,100.0
1755350586.0300195,100.0
1755350586.0315077,100.0
1755350586.0324273,100.0
1755350586.03341,100.0
1755350586.03442,100.0
1755350586.0387933,100.0
1755350586.0396354,100.0
1755350586.0424054,100.0
1755350586.0449083,100.0
1755350586.045757,100.0
1755350586.047812,100.0
1755350586.0487008,100.0
1755350586.0494692,100.0
1755350586.0503776,100.0
1755350586.0524564,100.0
1755350586.0533712,100.0
1755350586.0543113,100.0
1755350586.0555327,100.0
1755350586.056378,100.0
1755350586.0583866,100.0
1755350586.0591397,100.0
1755350586.0599852,100.0
1755350586.0625248,100.0
1755350586.0633774,100.0
1755350586.0651615,100.0
1755350586.066947,100.0
1755350586.0694695,100.0
1755350586.0726066,100.0
1755350586.073447,100.0
1755350586.076234,100.0
1755350586.0772746,100.0
1755350586.078729,100.0
1755350586.0816905,100.0
1755350586.0845416,100.0
1755350586.0854602,100.0
1755350586.0867317,100.0
1755350586.0913603,100.0
1755350586.093584,100.0
1755350586.094828,100.0
1755350586.0959365,100.0
1755350586.0979679,100.0
1755350586.1004696,100.0
1755350586.1025846,100.0
1755350586.1034138,100.0
1755350586.1049416,100.0
1755350586.1067412,100.0
1755350586.1100945,100.0
1755350586.1147518,100.0
1755350586.1157014,100.0
1755350586.116539,100.0
1755350586.117232,100.0
1755350586.1184459,100.0
1755350586.1206446,100.0
1755350586.1224403,100.0
1755350586.1271524,100.0
1755350586.128626,100.0
1755350586.1296725,100.0
